SIREN;KC_ENTREPRISE;KN_ENTREPRISE;DC_RAISONSOCIALEENTREPRISE;DC_NAFREV2_ENTREPRISE_ID;DC_CATEGORIEJURIDIQUE;NB_SIRET;NBDPAEP1M;C_SIRETETABLISSEMENT;C_ENSEIGNE;C_NAF_ID;C_COMMUNE_ID;GROUPE;Parcours fidélisation;Affectation groupe DG/DR;Code Région;Région;Code filière;Filières
015851793;0000009462;9462;DORAS;4673A;5710;59;2436;01585179300016;DORAS;4673A;21166;;;;;;;
016250029;0000009575;9575;APRR;5221Z;5510;44;5916;01625002900309;APRR;7010Z;21540;;;;;;;
024049124;0012565558;12565558;BOURBON DISTRIBUTION MAYOTTE;4711F;5710;42;6412;02404912400142;JUMBO SCORE;4711F;97611;;;;;;;
025480401;0000021830;21830;BARRAULT;4531Z;5710;68;3400;02548040100097;BARRAULT;4531Z;79191;;;;;;;
054800958;0000154340;154340;RICHARDSON;4674B;5710;88;5377;05480095800016;RICHARDSON;4674B;13202;;;;;;;
055200984;0000154868;154868;LARIVIERE;4673A;5710;74;1920;05520098401831;LARIVIERE;4673A;49007;;;;;;;
056502248;0000155575;155575;SAMSE;4673A;5599;81;7992;05650224801131;SAMSE;4673A;38185;;;;;;;
056503097;0000155642;155642;BMRA;4673A;5710;85;5564;05650309700810;BMRA;4673A;73065;;;;;;;
056800659;0000155745;155745;SNEF;4321A;5599;72;28094;05680065900155;SNEF;4321A;13215;;;;;;;
057502742;0000156486;156486;LE DAUPHINE LIBERE;5813Z;5599;25;2652;05750274200364;LE DAUPHINE LIBERE;5813Z;38540;;;;;;;
057802753;0000156811;156811;COMASUD;4673A;5710;76;4440;05780275301903;POINT P;4673A;13214;;;;;;;
057812968;0000157196;157196;DISTRIBUTION AMENAGEMENT ET ISOLATION;4673A;5710;39;3216;05781296800899;SFIC;4673A;75119;;;;;;;
058811670;0000158042;158042;ERILIA;6820A;5599;22;4294;05881167000528;ERILIA;6820B;13208;;;;;;;
060801388;0000158949;158949;ENTREPRISE H. REINIER;8129B;5710;32;41633;06080138801861;ENTREPRISE H. REINIER;8129B;13209;;;;;;;
060801396;0000159028;159028;ORTEC INDUSTRIE;3812Z;5710;20;3486;06080139600155;ORTEC INDUSTRIE;7010Z;13001;;;;;;;
061501615;0000159361;159361;CHRISTAUD;4669B;5710;43;2369;06150161500019;CHRISTAUD;4669B;38151;;;;;;;
062201009;0000159720;159720;LES LAVANDIERES;9601A;5710;23;17595;06220100900057;ELIS ANJOU;7729Z;49015;;;;;;;
062501275;0000159794;159794;AMER SPORTS FRANCE;4649Z;5710;22;2924;06250127500150;SALOMON - WILSON - ATOMIC-PEAK PERFORMAN;4649Z;38530;;;;;;;
063200885;0000160109;160109;BAKER TILLY STREGO;6920Z;5710;50;6408;06320088500943;BAKER TILLY STREGO;6920Z;49007;;;;;;;
