Code filière;Libellé filière majuscule;Région;DIRECTEUR REGIONAL
FIL27;SPORT;HAUTS-DE-FRANCE;Frédéric DANEL
FIL01;AGRICULTURE, ÉLEVAGE ET PÊCHE;BRETAGNE;Angélique GOODALL
FIL02;ARMÉES, DÉFENSE ET SÉCURITÉ PUBLIQUE;PROVENCE-ALPES-CÔTE D'AZUR;Pascal BLAIN
FIL03;BANQUES ASSURANCES IMMOBILIER;DIRECTION GENERALE;-
FIL04;COMMERCE ET DISTRIBUTION;DIRECTION GENERALE;-
FIL05;CONSTRUCTION (BTP ET MATÉRIAUX);BOURGOGNE-FRANCHE-COMTÉ;Stéphane BAILLY
FIL06;CULTURE, CINÉMA,SPECTACLE, AUDIOVISUEL;FRANCE TRAVAIL SERVICES;Philippe GUEUDAR DELAHAYE
FIL07;EMPOI PUBLIC (HORS SANTÉ ET DÉFENSE);PROVENCE-ALPES-CÔTE D'AZUR;Pascal BLAIN
FIL08;ENERGIES (RENOUVELABLES ET RÉSEAUX);NORMANDIE;Laurence HURNI
FIL09;FILIÈRE BOIS;GRAND EST;Virginie COPPENS MENAGER
FIL10;HÔTELLERIE ET RESTAURATIONS (HCRB);DIRECTION GENERALE;-
FIL13;INDUSTRIE AÉRONAUTIQUE ET SPATIALE;OCCITANIE;Karine MEININGER
FIL12;INDUSTRIE AUTOMOBILE;HAUTS-DE-FRANCE;Frédéric DANEL
FIL14;INDUSTRIE CHIMIQUE;ÎLE-DE-FRANCE;Nadine CRINIER
FIL15;INDUSTRIE DE SANTÉ;AUVERGNE-RHÔNE-ALPES;Michel SWIETON
FIL20;INDUSTRIE ÉLECTRIQUE ET ÉLECTRONIQUE;DIRECTION GENERALE;-
FIL16;INDUSTRIE FERROVIAIRE;HAUTS-DE-FRANCE;Frédéric DANEL
FIL21;MÉTALLURGIE - SCOPE UIMM;DIRECTION GENERALE;-
FIL17;NAVAL ET NAUTISME;PAYS DE LA LOIRE;Catherine ADNOT-MALLET
FIL18;INDUSTRIE PLASTURGIQUE;AUVERGNE-RHÔNE-ALPES;Michel SWIETON
FIL11;INDUSTRIE AGROALIMENTAIRE;BRETAGNE;Angélique GOODALL
FIL19;INDUSTRIE TEXTILE, MODE ET LUXE;HAUTS-DE-FRANCE;Frédéric DANEL
FIL22;NUCLÉAIRE;AUVERGNE-RHÔNE-ALPES;Michel SWIETON
FIL23;NUMÉRIQUE ET TÉLÉCOMMUNICATIONS;ÎLE-DE-FRANCE;Nadine CRINIER
FIL24;PROPRETÉ;DIRECTION GENERALE;-
FIL25;SANTÉ, SOCIAL, SAP;NOUVELLE-AQUITAINE;Olivier PELVOIZIN
FIL28;SÉCURITÉ PRIVÉE;ÎLE-DE-FRANCE;Nadine CRINIER
FIL26;SERVICES AUTOMOBILES;DIRECTION GENERALE;-
FIL29;TRANSFORMATION TRAITEMENT ET VALORISATION DES RESSOURCES;DIRECTION GENERALE;-
FIL30;TRANSPORTS ET LOGISTIQUE;PROVENCE-ALPES-CÔTE D'AZUR;Pascal BLAIN
